0.590000 0.000000 0.000001 0.000000 -0.059000 0.080740
0.590000 -0.000001 0.000002 0.000000 -0.059000 0.080740
0.590000 -0.000003 0.000004 -0.000001 -0.059000 0.080740
0.590000 -0.000007 0.000009 -0.000002 -0.059000 0.080740
0.590000 -0.000014 0.000020 -0.000005 -0.059000 0.080740
0.590000 -0.000029 0.000040 -0.000010 -0.059000 0.080740
0.590000 -0.000059 0.000080 -0.000021 -0.059000 0.080740
0.590000 -0.000118 0.000161 -0.000042 -0.059000 0.080740
0.590000 -0.000236 0.000323 -0.000084 -0.059000 0.080740
0.589999 -0.000472 0.000646 -0.000169 -0.059000 0.080740
0.589997 -0.000944 0.001292 -0.000337 -0.058999 0.080740
0.589989 -0.001889 0.002586 -0.000675 -0.058996 0.080741
0.589957 -0.003779 0.005172 -0.001350 -0.058982 0.080742
0.589903 -0.005668 0.007758 -0.002025 -0.058960 0.080744
0.589827 -0.007556 0.010345 -0.002700 -0.058929 0.080747
0.589730 -0.009443 0.012931 -0.003375 -0.058889 0.080751
0.589611 -0.011329 0.015518 -0.004050 -0.058841 0.080755
0.589308 -0.015094 0.020692 -0.005399 -0.058717 0.080766
0.588919 -0.018851 0.025866 -0.006748 -0.058557 0.080781
0.588444 -0.022596 0.031042 -0.008095 -0.058363 0.080798
0.587882 -0.026328 0.036219 -0.009442 -0.058132 0.080818
0.587234 -0.030044 0.041397 -0.010787 -0.057867 0.080840
0.586500 -0.033742 0.046576 -0.012131 -0.057566 0.080864
0.584774 -0.041073 0.056941 -0.014812 -0.056857 0.080919
0.582704 -0.048305 0.067312 -0.017485 -0.056007 0.080979
0.580293 -0.055419 0.077692 -0.020148 -0.055014 0.081040
0.577542 -0.062397 0.088079 -0.022799 -0.053880 0.081100
0.574452 -0.069220 0.098474 -0.025435 -0.052604 0.081153
0.571025 -0.075871 0.108874 -0.028055 -0.051187 0.081196
0.567263 -0.082331 0.119280 -0.030658 -0.049629 0.081222
0.563169 -0.088583 0.129687 -0.033239 -0.047931 0.081227
0.558746 -0.094608 0.140093 -0.035798 -0.046094 0.081203
0.553997 -0.100388 0.150494 -0.038332 -0.044118 0.081144
0.548925 -0.105907 0.160884 -0.040837 -0.042006 0.081042
0.537828 -0.116090 0.181611 -0.045752 -0.037381 0.080681
0.526778 -0.124188 0.200159 -0.050049 -0.032778 0.080129
0.514753 -0.131179 0.218550 -0.054205 -0.027781 0.079310
0.501788 -0.136975 0.236716 -0.058200 -0.022419 0.078167
0.487922 -0.141495 0.254576 -0.062010 -0.016732 0.076647
0.473202 -0.144671 0.272037 -0.065610 -0.010766 0.074696
0.457677 -0.146444 0.288993 -0.068975 -0.004578 0.072260
0.441407 -0.146770 0.305326 -0.072078 0.001765 0.069293
0.424453 -0.145624 0.320911 -0.074894 0.008186 0.065757
0.406886 -0.142995 0.335611 -0.077394 0.014602 0.061619
0.388780 -0.138896 0.349285 -0.079555 0.020921 0.056862
0.370218 -0.133360 0.361791 -0.081353 0.027045 0.051481
0.351286 -0.126444 0.372984 -0.082765 0.032875 0.045488
0.332073 -0.118227 0.382727 -0.083775 0.038312 0.038909
0.312676 -0.108810 0.390890 -0.084368 0.043260 0.031789
0.293191 -0.098317 0.397354 -0.084534 0.047632 0.024191
0.273717 -0.086890 0.402017 -0.084268 0.051350 0.016189
0.254355 -0.074687 0.404797 -0.083570 0.054350 0.007875
0.235202 -0.061879 0.405633 -0.082447 0.056587 -0.000651
0.216357 -0.048647 0.404489 -0.080909 0.058032 -0.009280
0.197914 -0.035173 0.401353 -0.078972 0.058677 -0.017902
0.179960 -0.021642 0.396240 -0.076657 0.058535 -0.026407
